Tiempo_s,Error_Abs_h1_lin_cm,Error_Abs_h2_lin_cm
0.0,0.0,0.0
0.05,0.003581399731465721,0.0003008236238466417
0.1,0.00687917134469912,0.0008108644010375416
0.15000000000000002,0.00999988714619747,0.0014392664290431196
0.2,0.012981505966692572,0.0021549733054376397
0.25,0.01584639729147707,0.0029401682409115745
0.30000000000000004,0.01860905176383522,0.0037835180749513906
0.35000000000000003,0.021279931983349785,0.004676965345514152
0.4,0.023867722856448836,0.005613896558223814
0.45,0.026379515859103097,0.006588984708672015
0.5,0.02882080903682709,0.007598189282417042
0.55,0.031196190017493994,0.008638180655444425
0.6000000000000001,0.03350976216406937,0.009705970438959923
0.65,0.03576481578054613,0.010799222273588484
0.7000000000000001,0.03796440431796599,0.011915776547893872
0.75,0.040111343962873275,0.013053654033366686
0.8,0.04220821354516063,0.014211056263075327
0.8500000000000001,0.04425735453806854,0.015386365531665967
0.9,0.04626087105818527,0.01657814489536292
0.9500000000000001,0.048220629865448526,0.017785138171969323
1.0,0.05013826036314238,0.019006269940865406
1.05,0.05201519522273191,0.020240613192942784
1.1,0.053853093125511745,0.021487049397064185
1.1500000000000001,0.055653278293522596,0.02274471366176706
1.2000000000000002,0.0574169201598865,0.02401285978997566
1.25,0.059145144989476706,0.025290772246816723
1.3,0.06083903587891706,0.02657776615961918
1.35,0.062499632756580485,0.02787318731791446
1.4000000000000001,0.06412793238259225,0.029176412173437194
1.4500000000000002,0.06572488834882678,0.030486847840123472
1.5,0.0672914110789096,0.031803932094111906
1.55,0.06882836782821636,0.033127133373744316
1.6,0.07033658268387295,0.03445595077956434
1.6500000000000001,0.07181683656475672,0.03578991407431847
1.7000000000000002,0.07326986722149408,0.03712858368295532
1.75,0.07469636923646299,0.03847155069262643
1.8,0.07609699402379098,0.039818436852685477
1.85,0.07747234982935719,0.041168894574688274
1.9000000000000001,0.07882300173079052,0.042522606932393854
1.9500000000000002,0.08014947163747012,0.043879287661763106
2.0,0.08145225252770834,0.04523867045885469
2.0500000000000003,0.08273204318930022,0.046600331490453124
2.1,0.08398938156701685,0.04796396400759348
2.15,0.08522470672900286,0.0493293343230694
2.2,0.08643844923359235,0.05069621424549564
2.25,0.08763103112930953,0.05206438107930656
2.3000000000000003,0.08880286595486613,0.05343361762475663
2.35,0.0899543587391641,0.05480371217791994
2.4000000000000004,0.09108590600129433,0.056174458530691015
2.45,0.09219789575053705,0.05754565597078437
2.5,0.0932907074863612,0.058917109281733854
2.5500000000000003,0.09436471219842561,0.060288628742894465
2.6,0.09542027236657717,0.061660030129439734
2.6500000000000004,0.09645774196085301,0.063031134712364
2.7,0.09747746644147917,0.06440176925848227
2.75,0.09847978275886989,0.06577176603042789
2.8000000000000003,0.09946501935363056,0.06714096278665564
2.85,0.10043349615655328,0.06850920278143957
2.9000000000000004,0.10138552458862099,0.06987633476487384
2.95,0.1023214075610057,0.07124221298287253
3.0,0.10324143947506755,0.07260669717717026
3.0500000000000003,0.1041459062223575,0.0739696525853205
3.1,0.10503508518461373,0.07533094994069786
3.1500000000000004,0.10590924523376537,0.07669046547249628
3.2,0.1067686467319291,0.07804808090573004
3.25,0.10761354153141196,0.07940368346123317
3.3000000000000003,0.10844417297470972,0.08075716585565969
3.35,0.10926077589450742,0.08210842630148361
3.4000000000000004,0.11006357661367912,0.08345736850699877
3.45,0.11085279294528773,0.0848039016763199
3.5,0.11162863419258602,0.08614794050938049
3.5500000000000003,0.11239130114901602,0.08748940520193478
3.6,0.1131409860982078,0.08882822144555655
3.6500000000000004,0.11387787281398132,0.09016432042763974
3.7,0.11460213656034596,0.09149763883139861
3.75,0.11531394409149981,0.09282811883586682
3.8000000000000003,0.11601348012535039,0.09415568804414706
3.85,0.11670102405206983,0.09548020181087663
3.9000000000000004,0.11737675945926694,0.09680158809155495
3.95,0.11804085388249422,0.09811978656604924
4.0,0.1186934726142422,0.09943473814067498
4.05,0.11933477870393928,0.10074638494819463
4.1000000000000005,0.11996493295795092,0.1020546703478176
4.15,0.12058409393958125,0.10335953892520215
4.2,0.12119241796907142,0.10466093649245331
4.25,0.12179005912360047,0.10595881008812394
4.3,0.12237716923728528,0.10725310797721425
4.3500000000000005,0.12295389790118044,0.1085437796511721
4.4,0.12352039246327799,0.10983077582789313
4.45,0.12407679802850807,0.11111404845172014
4.5,0.12462325745873871,0.11239355069344441
4.55,0.12515991137277468,0.11366923695030355
4.6000000000000005,0.12568689814635975,0.11494106284598352
4.65,0.1262043539121743,0.1162089852306177
4.7,0.12671241255983734,0.11747296218078732
4.75,0.12721120573590522,0.1187329529995204
4.800000000000001,0.12770086284387155,0.11998891821629301
4.8500000000000005,0.12818151104416858,0.12124081958702941
4.9,0.12865327525416564,0.12248862009410018
4.95,0.1291162781481699,0.12373228394632423
5.0,0.12957064015742642,0.12497177657896803
5.050000000000001,0.13001647947011777,0.1262070646537458
5.1000000000000005,0.13045391203136467,0.12743811605881872
5.15,0.13088305154322477,0.12866489990879595
5.2,0.13130400946469428,0.12988738654473406
5.25,0.13171689501170672,0.13110554753413733
5.300000000000001,0.13212181515713325,0.1323193556709576
5.3500000000000005,0.1325188746278341,0.13352878498560958
5.4,0.1329081754610663,0.13473381223665995
5.45,0.1332898176438158,0.13593441470621478
5.5,0.13366389926682992,0.13713056971708876
5.550000000000001,0.13403051617091877,0.13832225584428193
5.6000000000000005,0.134389761946956,0.13950945291498143
5.65,0.13474172793587783,0.14069214200856145
5.7,0.13508650322868343,0.14187030545658236
5.75,0.13542417466643528,0.1430439268427922
